filename,category
2020_Cyber_Attack_Trends_Report.pdf,Research Report
2020_Data_Risk_Security_Report.pdf,Research Report
2020_Midyear_Cybersecurity_Report.pdf,Research Report
Avoiding_Phishing_Scams.pdf,Awareness
CAPIE_Full_study_guide_1.pdf,Study Guide
EthicalHacking_Day5_BurpSuite_Codelivly.pdf,Tutorial
Nmap_Complete_Guides.pdf,Tutorial
The_State_of_Cloud_Security_2020.pdf,Research Report
Tor_and_the_Dark_of_Anonymity.pdf,Research Report
Ultimate_Cybersecurity_Tool_List_Free_PDF.pdf,Reference
21_OSINT_Research_Tools_for_Threat_Intelligence.pdf,Reference
50_useful_python_scripts_free.pdf,Tutorial
21_OSINT_Research_Tools_for_Threat_Intelligence.pdf,Reference
